c1,c2,stim,ratingcmp,ratingC1,ratingC2,LSAc1c2,LSAc1stim,LSAc2stim,c1c2_snautCos,c1stim_snautCos,c2stim_snautCos,st_c1_mean,st_c2_mean,f1,f2,f3,BLPrt,elp_ld_rt,elp_naming_mean_rt
after,birth,afterbirth,84.125,81.4375,89.53125,.33,.13,.46,.74894798,.68249398,.60901898,3.5940001,4.0650001,.28367442,1.0610901,.29305029,,806.39,632.14001
after,effect,aftereffect,84.23333,83.333336,84.199997,.29,.02,.36,.82858902,.81679302,.58882099,4.2579999,4.7189999,.42517292,1.1178133,-.093047068,,1446.6,925.71002
after,glow,afterglow,64.574997,70.599998,72.099998,.22,.12,.24,.80368698,.80346102,.545044,4.0970001,4.033,-.25438395,.36179024,.13326742,,774.13,708.35999
after,life,afterlife,85.648651,89.37838,85.810814,.36,.15,.15,.61037099,.76617098,.68475002,3.563,4.0970001,.66079462,.61516976,-.39239743,,784.91,649.67999
after,math,aftermath,42.733334,87.699997,27.433332,.22,.27,-.02,.87457901,.70489198,.99901998,4.1939998,1.781,.32706115,-2.7901402,-.36184034,,664.67,621.96002
after,noon,afternoon,88.966667,87.466667,85.400002,.37,.54,.55,.62678599,.60778099,.439289,3.313,5.7930002,.29642323,1.9393712,1.7143266,,658.03,606.21002
after,taste,aftertaste,89.068962,92.59259,94.037041,.17,.08,.19,.76565802,.87867498,.49586999,4.355,4.6329999,.739173,1.298326,-.24647667,,921.66,762.08002
after,thought,afterthought,78.724998,83.699997,87.925003,.49,.12,.14,.459268,.97174102,.80019802,3.8710001,4.5939999,.44002819,.60952115,-1.0816309,,716.53,663.07001
air,craft,aircraft,61.333332,78.025642,55.76923,.17,.34,.41,.82408601,.65408498,.59323001,4.9689999,3.733,.14429735,-.22846022,1.2373472,647.263157894737,647.3,582.25
air,crew,aircrew,72.485718,65.714287,81.14286,.08,-.01,.16,.823515,.72524798,.64430702,4.375,4.875,-.0015177354,.7954784,-.11303472,741.703703703704,833.25,686.47998
air,field,airfield,57.340908,60.840908,72.295456,.08,.19,.3,.76399899,.76352,.76313901,3.938,4.2670002,-.49092487,.13197902,.036444306,682.857142857143,842.7,681.5
air,flow,airflow,81.837837,92.108109,86.324326,.14,.31,.13,.774836,.66833198,.64704502,4.4380002,4.1939998,.90537053,.53452927,.38382152,679,827.16,593.91998
air,frame,airframe,62.413792,66.758621,59.103447,.08,.16,.05,.95401698,.73272502,.90852398,3.4519999,3.5669999,-.075331725,-.74599588,-.6394096,633.727272727273,868.43,676.03998
