id_master,c1,c2,stim,perMember,fracperMember
3,after,birth,afterbirth,46.391754,.46391755
5,after,burner,afterburner,38.613861,.38613862
7,after,care,aftercare,86.597939,.86597937
9,after,effect,aftereffect,78.350517,.7835052
11,after,glow,afterglow,81.818184,.81818181
13,after,image,afterimage,86,.86000001
15,after,life,afterlife,78.350517,.7835052
17,after,math,aftermath,8.0808077,.080808073
19,after,noon,afternoon,50.505051,.50505048
26,after,taste,aftertaste,91.919189,.9191919
28,after,thought,afterthought,96,.95999998
33,air,brake,airbrake,92,.92000002
34,air,brush,airbrush,63,.63
37,air,bus,airbus,67,.67000002
39,air,craft,aircraft,54.285713,.54285711
43,air,crew,aircrew,97.029701,.97029704
49,air,drop,airdrop,46.534653,.46534652
51,air,fare,airfare,79,.79000002
53,air,field,airfield,72.380951,.72380948
54,air,fields,airfields,77.227722,.77227724
55,air,flow,airflow,90.476189,.90476191
58,air,force,airforce,66,.66000003
59,air,frame,airframe,57,.56999999
61,air,gun,airgun,97,.97000003
64,air,lift,airlift,74.257423,.74257421
66,air,line,airline,22.772278,.22772278
67,air,liner,airliner,23.71134,.2371134
69,air,lines,airlines,25.742575,.25742576
70,air,lock,airlock,61.386139,.61386138
72,air,mail,airmail,92.380951,.92380953
75,air,man,airman,61,.61000001
77,air,men,airmen,68.316833,.68316835
78,air,plane,airplane,86.138611,.86138612
79,air,planes,airplanes,91.089111,.91089112
80,air,port,airport,74.257423,.74257421
81,air,ports,airports,67.326736,.67326736
85,air,ship,airship,84.848488,.84848487
92,air,space,airspace,77.319588,.77319586
94,air,speed,airspeed,72.164948,.72164947
97,air,strip,airstrip,63.917526,.63917524
102,air,way,airway,55.445545,.55445546
103,air,ways,airways,51.485149,.51485151
112,ale,house,alehouse,59.405941,.59405941
116,alley,way,alleyway,66,.66000003
119,all,spice,allspice,77.227722,.77227724
122,altar,piece,altarpiece,60.60606,.60606062
132,anchor,man,anchorman,77.227722,.77227724
139,angle,worm,angleworm,86,.86000001
145,ant,eater,anteater,74.257423,.74257421
147,ant,hill,anthill,94.214874,.94214875
156,arches,pore,archespore,25.742575,.25742576
157,arch,way,archway,43.809525,.43809524
161,arm,band,armband,84.158417,.84158415
163,arm,chair,armchair,92.079208,.9207921
164,arm,chairs,armchairs,91.089111,.91089112
166,arm,hole,armhole,80,.80000001
168,arm,pit,armpit,55.445545,.55445546
169,arm,pits,armpits,54.455444,.54455447
173,aroma,therapy,aromatherapy,96,.95999998
174,arrow,head,arrowhead,39.39394,.39393941
176,arrow,root,arrowroot,58.762886,.58762884
180,artillery,man,artilleryman,68,.68000001
186,ash,can,ashcan,67.010307,.67010307
188,ash,tray,ashtray,91.735535,.91735536
189,ash,trays,ashtrays,95.049507,.95049506
191,assembly,man,assemblyman,73.737373,.73737371
205,back,ache,backache,97.029701,.97029704
208,back,beat,backbeat,49,.49000001
209,back,bench,backbench,77,.76999998
211,back,bend,backbend,79.207924,.79207921
214,back,board,backboard,91,.91000003
216,back,bone,backbone,88.118813,.88118815
218,back,chat,backchat,62,.62
219,back,cloth,backcloth,68,.68000001
221,back,door,backdoor,94.214874,.94214875
223,back,drop,backdrop,16.190475,.16190475
225,back,field,backfield,79,.79000002
227,back,fire,backfire,37,.37
232,back,ground,background,28.712872,.28712872
233,back,grounder,backgrounder,8.9108915,.089108914
235,back,grounding,backgrounding,15.841584,.15841584
236,back,grounds,backgrounds,37.623764,.37623763
237,back,hand,backhand,37.623764,.37623763
241,back,lash,backlash,41.904762,.41904762
243,back,lighting,backlighting,94,.94
244,back,log,backlog,44.554455,.44554454
246,back,pack,backpack,88.65979,.88659787
249,back,packing,backpacking,48.514851,.48514852
254,back,room,backroom,95,.94999999
259,back,seat,backseat,92.783508,.92783511
262,back,side,backside,58.41584,.58415842
269,back,sliding,backsliding,68,.68000001
278,back,stage,backstage,75.247528,.75247526
279,back,stairs,backstairs,72.277229,.7227723
280,back,stay,backstay,25,.25
286,back,stroke,backstroke,84.761902,.847619
288,back,swimmer,backswimmer,83.16832,.83168322
291,back,talk,backtalk,86.597939,.86597937
292,back,wash,backwash,44.761906,.44761905
293,back,water,backwater,54,.54000002
295,back,woods,backwoods,76.190475,.76190478
300,back,yard,backyard,97.14286,.97142863
301,back,yards,backyards,89.10891,.89108908
304,bag,pipe,bagpipe,63.809525,.63809526
326,ball,player,ballplayer,93,.93000001
328,ball,point,ballpoint,46.534653,.46534652
330,ball,room,ballroom,95.238098,.95238096
332,band,box,bandbox,60,.60000002
336,band,master,bandmaster,69.696968,.69696969
339,bands,man,bandsman,58,.57999998
341,band,stand,bandstand,56.198349,.56198347
343,band,wagon,bandwagon,37.373737,.37373737
345,band,width,bandwidth,54.545456,.54545456
348,bang,tail,bangtail,28,.28
349,bank,book,bankbook,84.536079,.84536082
351,bank,note,banknote,90.909088,.90909088
