"word_id","word","sen"
"1910","abbot","sensitive"
"1911","able_seaman","sensitive"
"1912","adonis","sensitive"
"1913","aircraftsman","sensitive"
"1914","aircrewman","sensitive"
"1915","alderman","sensitive"
"1916","altar_boy","sensitive"
"1917","ape-man","sensitive"
"1918","apostle","sensitive"
"1919","archbishop","sensitive"
"1920","archdeacon","sensitive"
"1921","archpriest","sensitive"
"1922","armiger","sensitive"
"1923","armiger","sensitive"
"1924","artilleryman","sensitive"
"1925","assemblyman","sensitive"
"1926","augustinian","sensitive"
"1927","austin_friar","sensitive"
"1928","babu","sensitive"
"1929","bacchant","sensitive"
"1930","bachelor","sensitive"
"1931","backroom_boy","sensitive"
"1932","baggageman","sensitive"
"1933","bagman","sensitive"
"1934","ball_boy","sensitive"
"1935","ballet_master","sensitive"
"1936","bandsman","sensitive"
"1937","baritone","sensitive"
"1938","baron","sensitive"
"1939","baron","sensitive"
"1940","baron","sensitive"
"1941","basileus","sensitive"
"1942","bass","sensitive"
"1943","bat_boy","sensitive"
"1944","batman","sensitive"
"1945","beadsman","sensitive"
"1946","beggarman","sensitive"
"1947","bellboy","sensitive"
"1948","benedick","sensitive"
"1949","best_man","sensitive"
"1950","bey","sensitive"
"1951","bey","sensitive"
"1952","big_brother","sensitive"
"1953","black_man","sensitive"
"1954","blade","sensitive"
"1955","blood_brother","sensitive"
"1956","boatman","sensitive"
"1957","bondman","sensitive"
"1958","bondman","sensitive"
"1959","bondsman","sensitive"
"1960","border_patrolman","sensitive"
"1961","boy","sensitive"
"1962","boy","sensitive"
"1963","boy_scout","sensitive"
"1964","boy_scout","sensitive"
"1965","boy_wonder","sensitive"
"1966","boyfriend","sensitive"
"1967","brahman","sensitive"
"1968","brakeman","sensitive"
"1969","broth_of_a_boy","sensitive"
"1970","brother","sensitive"
"1971","brother","sensitive"
"1972","brother","sensitive"
"1973","brother","sensitive"
"1974","brother-in-law","sensitive"
"1975","brunet","sensitive"
"1976","buddy","sensitive"
"1977","bull","sensitive"
"1978","bullyboy","sensitive"
"1979","burgrave","sensitive"
"1980","burgrave","sensitive"
"1981","busboy","sensitive"
"1982","bushman","sensitive"
"1983","bushman","sensitive"
"1984","businessman","sensitive"
"1985","butler","sensitive"
"1986","cabin_boy","sensitive"
"1987","cameraman","sensitive"
"1988","capo","sensitive"
"1989","career_man","sensitive"
"1990","casanova","sensitive"
"1991","castrato","sensitive"
"1992","catamite","sensitive"
"1993","cattleman","sensitive"
"1994","cavalier","sensitive"
"1995","cavalier","sensitive"
"1996","cavalryman","sensitive"
"1997","cavalryman","sensitive"
"1998","caveman","sensitive"
"1999","centurion","sensitive"
"2000","chairman_of_the_board","sensitive"
"2001","chairman","sensitive"
"2002","chairmen","sensitive"
"2003","chapman","sensitive"
"2004","charon","sensitive"
"2005","choirboy","sensitive"
"2006","church_father","sensitive"
"2007","city_man","sensitive"
"2008","clansman","sensitive"
"2009","clergyman","sensitive"
"2010","cleric","sensitive"
"2011","closet_queen","sensitive"
"2012","coachman","sensitive"
"2013","coalman","sensitive"
"2014","coastguardsman","sensitive"
"2015","codger","sensitive"
"2016","coiffeur","sensitive"
"2017","committeeman","sensitive"
"2018","company_man","sensitive"
"2019","confidence_man","sensitive"
"2020","congressman","sensitive"
"2021","cornishman","sensitive"
"2022","councilman","sensitive"
"2023","count","sensitive"
"2024","countertenor","sensitive"
"2025","countryman","sensitive"
"2026","countryman","sensitive"
"2027","cowboy","sensitive"
"2028","cowboy","sensitive"
"2029","cowboy","sensitive"
"2030","craftsman","sensitive"
"2031","craftsman","sensitive"
"2032","craftsman","sensitive"
"2033","crewman","sensitive"
"2034","crewman","sensitive"
"2035","crown_prince","sensitive"
"2036","cub","sensitive"
"2037","cub_scout","sensitive"
"2038","cuckold","sensitive"
"2039","curandero","sensitive"
"2040","cyril","sensitive"
"2041","czar","sensitive"
"2042","dad","sensitive"
"2043","dairyman","sensitive"
"2044","dairyman","sensitive"
"2045","dalesman","sensitive"
"2046","dandy","sensitive"
"2047","danseur","sensitive"
"2048","dauphin","sensitive"
"2049","dayboy","sensitive"
"2050","deacon","sensitive"
"2051","deacon","sensitive"
"2052","deadbeat_dad","sensitive"
"2053","dean","sensitive"
"2054","deliveryman","sensitive"
"2055","dirty_old_man","sensitive"
"2056","dog","sensitive"
"2057","doge","sensitive"
"2058","domestic_prelate","sensitive"
"2059","don","sensitive"
"2060","don_juan","sensitive"
"2061","doorkeeper","sensitive"
"2062","doughboy","sensitive"
"2063","draftsman","sensitive"
"2064","draftsman","sensitive"
"2065","dragoman","sensitive"
"2066","duke","sensitive"
"2067","dutch_uncle","sensitive"
"2068","eagle_scout","sensitive"
"2069","earl","sensitive"
"2070","earl_marshal","sensitive"
"2071","ejaculator","sensitive"
"2072","elder_statesman","sensitive"
"2073","elder_statesman","sensitive"
"2074","elector","sensitive"
"2075","emir","sensitive"
"2076","emperor","sensitive"
"2077","end_man","sensitive"
"2078","end_man","sensitive"
"2079","englishman","sensitive"
"2080","enlisted_man","sensitive"
"2081","ent_man","sensitive"
"2082","eparch","sensitive"
"2083","esquire","sensitive"
"2084","esquire","sensitive"
"2085","ethnarch","sensitive"
"2086","everyman","sensitive"
"2087","ex-boyfriend","sensitive"
"2088","ex-husband","sensitive"
"2089","exarch","sensitive"
"2090","exarch","sensitive"
"2091","exarch","sensitive"
"2092","excavator","sensitive"
"2093","family_man","sensitive"
"2094","fancy_man","sensitive"
"2095","farm_boy","sensitive"
"2096","fathead","sensitive"
"2097","father","sensitive"
"2098","father","sensitive"
"2099","father","sensitive"
"2100","father_figure","sensitive"
"2101","father-figure","sensitive"
"2102","father-in-law","sensitive"
"2103","fauntleroy","sensitive"
"2104","favorite_son","sensitive"
"2105","fellow","sensitive"
"2106","ferryman","sensitive"
"2107","feudal_lord","sensitive"
"2108","fireman","sensitive"
"2109","first_baseman","sensitive"
"2110","fisherman","sensitive"
"2111","flamen","sensitive"
"2112","footman","sensitive"
"2113","forefather","sensitive"
"2114","forefather","sensitive"
"2115","foreman","sensitive"
"2116","foreman","sensitive"
"2117","foster-brother","sensitive"
"2118","foster-father","sensitive"
"2119","foster-son","sensitive"
"2120","four-minute_man","sensitive"
"2121","franklin","sensitive"
"2122","freedman","sensitive"
"2123","freeman","sensitive"
"2124","frenchman","sensitive"
"2125","friar","sensitive"
"2126","front_man","sensitive"
"2127","frontiersman","sensitive"
"2128","fugleman","sensitive"
"2129","g-man","sensitive"
"2130","gagman","sensitive"
"2131","gagman","sensitive"
"2132","galoot","sensitive"
"2133","ganger","sensitive"
"2134","garbage_man","sensitive"
"2135","gasman","sensitive"
"2136","gaucho","sensitive"
"2137","gay_man","sensitive"
"2138","geezer","sensitive"
"2139","gent","sensitive"
"2140","gentleman","sensitive"
"2141","gentlemen","sensitive"
"2142","gillie","sensitive"
"2143","gitano","sensitive"
"2144","godfather","sensitive"
"2145","godfather","sensitive"
"2146","godson","sensitive"
"2147","goliard","sensitive"
"2148","good_old_boy","sensitive"
"2149","grand_duke","sensitive"
"2150","grandee","sensitive"
"2151","grandfather","sensitive"
"2152","grandson","sensitive"
"2153","grass_widower","sensitive"
"2154","great_grandfather","sensitive"
"2155","great_grandson","sensitive"
"2156","great-nephew","sensitive"
"2157","great-uncle","sensitive"
"2158","grocery_boy","sensitive"
"2159","groom","sensitive"
"2160","groom","sensitive"
"2161","groomsman","sensitive"
"2162","groundsman","sensitive"
"2163","guardsman","sensitive"
"2164","gunman","sensitive"
"2165","gunman","sensitive"
"2166","guy","sensitive"
"2167","handyman","sensitive"
"2168","hangman","sensitive"
"2169","hatchet_man","sensitive"
"2170","hatchet_man","sensitive"
"2171","he","sensitive"
"2172","head_linesman","sensitive"
"2173","headman","sensitive"
"2174","headsman","sensitive"
"2175","heidelberg_man","sensitive"
"2176","helmsman","sensitive"
"2177","herr","sensitive"
"2178","him","sensitive"
"2179","himself","sensitive"
"2180","his","sensitive"
"2181","hobbledehoy","sensitive"
"2182","holdup_man","sensitive"
"2183","holy_roman_emperor","sensitive"
"2184","homeboy","sensitive"
"2185","homeboy","sensitive"
"2186","hooray_henry","sensitive"
"2187","horseman","sensitive"
"2188","horseman","sensitive"
"2189","housefather","sensitive"
"2190","husband","sensitive"
"2191","iceman","sensitive"
"2192","imam","sensitive"
"2193","inamorato","sensitive"
"2194","indiana","sensitive"
"2195","infantryman","sensitive"
"2196","irishman","sensitive"
"2197","iron_man","sensitive"
"2198","ironside","sensitive"
"2199","jacob","sensitive"
"2200","jawan","sensitive"
"2201","jimdandy","sensitive"
"2202","john_doe","sensitive"
"2203","john_doe","sensitive"
"2204","jute","sensitive"
"2205","kaiser","sensitive"
"2206","kennan","sensitive"
"2207","king","sensitive"
"2208","king_of_england","sensitive"
"2209","king_of_france","sensitive"
"2210","king_of_the_germans","sensitive"
"2211","kinsman","sensitive"
"2212","klansman","sensitive"
"2213","knight_of_the_round_table","sensitive"
"2214","knight_templar","sensitive"
"2215","knight-errant","sensitive"
"2216","lackey","sensitive"
"2217","lawman","sensitive"
"2218","layman","sensitive"
"2219","leading_man","sensitive"
"2220","letterman","sensitive"
"2221","libertine","sensitive"
"2222","liege","sensitive"
"2223","life_peer","sensitive"
"2224","lighterman","sensitive"
"2225","limey","sensitive"
"2226","lineman","sensitive"
"2227","lineman","sensitive"
"2228","linesman","sensitive"
"2229","linkboy","sensitive"
"2230","little_brother","sensitive"
"2231","liveryman","sensitive"
"2232","lobsterman","sensitive"
"2233","longbowman","sensitive"
"2234","loon","sensitive"
"2235","lord","sensitive"
"2236","lord_chancellor","sensitive"
"2237","lothario","sensitive"
"2238","lounge_lizard","sensitive"
"2239","lowerclassman","sensitive"
"2240","lumberman","sensitive"
"2241","macaroni","sensitive"
"2242","macho","sensitive"
"2243","mafioso","sensitive"
"2244","maharaja","sensitive"
"2245","mailman","sensitive"
"2246","male","sensitive"
"2248","male_aristocrat","sensitive"
"2249","male_chauvinist","sensitive"
"2250","male_child","sensitive"
"2251","male_offspring","sensitive"
"2252","male_sibling","sensitive"
"2253","malik","sensitive"
"2254","man","sensitive"
"2259","man_jack","sensitive"
"2260","man_of_letters","sensitive"
"2261","man_of_means","sensitive"
"2262","man-at-arms","sensitive"
"2263","manservant","sensitive"
"2264","margrave","sensitive"
"2265","marksman","sensitive"
"2266","marquess","sensitive"
"2267","marquis","sensitive"
"2268","masseur","sensitive"
"2269","medicine_man","sensitive"
"2270","men","sensitive"
"2271","mesne_lord","sensitive"
"2272","messenger_boy","sensitive"
"2273","mestizo","sensitive"
"2274","middle-aged_man","sensitive"
"2275","midshipman","sensitive"
"2276","mikado","sensitive"
"2277","miles_gloriosus","sensitive"
"2278","military_policeman","sensitive"
"2279","militiaman","sensitive"
"2280","milkman","sensitive"
"2281","milord","sensitive"
"2282","minuteman","sensitive"
"2283","miracle_man","sensitive"
"2284","misogynist","sensitive"
"2285","mollycoddle","sensitive"
"2286","monk","sensitive"
"2287","monsieur","sensitive"
"2288","monsignor","sensitive"
"2289","mother's_boy","sensitive"
"2290","mother's_son","sensitive"
"2291","mover","sensitive"
"2292","mr.","sensitive"
"2293","muffin_man","sensitive"
"2294","mullah","sensitive"
"2295","muscleman","sensitive"
"2296","nabob","sensitive"
"2297","nephew","sensitive"
"2298","night_watchman","sensitive"
"2299","novillero","sensitive"
"2300","nuncio","sensitive"
"2301","oarsman","sensitive"
"2302","office_boy","sensitive"
"2303","oilman","sensitive"
"2304","oilman","sensitive"
"2305","oklahoman","sensitive"
"2306","old_boy","sensitive"
"2307","old_boy","sensitive"
"2308","old_boy","sensitive"
"2309","old_man","sensitive"
"2310","old_man","sensitive"
"2311","old_man","sensitive"
"2312","one_of_the_boys","sensitive"
"2313","orangeman","sensitive"
"2314","ordinary","sensitive"
"2315","organization_man","sensitive"
"2316","ottoman","sensitive"
"2317","outdoorsman","sensitive"
"2318","pachuco","sensitive"
"2319","page","sensitive"
"2320","palatine","sensitive"
"2321","paperboy","sensitive"
"2322","party_man","sensitive"
"2323","pater","sensitive"
"2324","patriarch","sensitive"
"2325","patriarch","sensitive"
"2326","patriarch","sensitive"
"2327","pederast","sensitive"
"2328","peer","sensitive"
"2329","peer_of_the_realm","sensitive"
"2330","pendragon","sensitive"
"2331","peter_pan","sensitive"
"2332","pharaoh","sensitive"
"2333","pilate","sensitive"
"2334","piltdown_man","sensitive"
"2335","pitchman","sensitive"
"2336","placeman","sensitive"
"2337","plainclothesman","sensitive"
"2338","plainsman","sensitive"
"2339","plowboy","sensitive"
"2340","plowman","sensitive"
"2341","point_man","sensitive"
"2342","point_man","sensitive"
"2343","pointsman","sensitive"
"2344","policeman","sensitive"
"2345","polycarp","sensitive"
"2346","polygynist","sensitive"
"2347","ponce","sensitive"
"2348","ponce_de_leon","sensitive"
"2349","pope","sensitive"
"2350","popper","sensitive"
"2351","posseman","sensitive"
"2352","poster_boy","sensitive"
"2353","potboy","sensitive"
"2354","poultryman","sensitive"
"2355","praetor","sensitive"
"2356","priest","sensitive"
"2357","prince_of_wales","sensitive"
"2358","princeling","sensitive"
"2359","princeling","sensitive"
"2360","proconsul","sensitive"
"2361","property_man","sensitive"
"2362","quarryman","sensitive"
"2363","raftsman","sensitive"
"2364","raja","sensitive"
"2365","rake","sensitive"
"2366","remittance_man","sensitive"
"2367","renaissance_man","sensitive"
"2368","renaissance_man","sensitive"
"2369","repairman","sensitive"
"2370","rifleman","sensitive"
"2371","rifleman","sensitive"
"2372","right-hand_man","sensitive"
"2373","roadman","sensitive"
"2374","roman","sensitive"
"2375","roman","sensitive"
"2376","roman_emperor","sensitive"
"2377","romeo","sensitive"
"2378","roundsman","sensitive"
"2379","sadhu","sensitive"
"2380","salesman","sensitive"
"2381","samurai","sensitive"
"2382","sandboy","sensitive"
"2383","sandwichman","sensitive"
"2384","sannup","sensitive"
"2385","satyr","sensitive"
"2386","schoolboy","sensitive"
"2387","schoolman","sensitive"
"2388","sea_scout","sensitive"
"2389","second_baseman","sensitive"
"2390","section_man","sensitive"
"2391","seducer","sensitive"
"2392","seedsman","sensitive"
"2393","selectman","sensitive"
"2394","senhor","sensitive"
"2395","serviceman","sensitive"
"2396","shah","sensitive"
"2397","shaheed","sensitive"
"2398","shaver","sensitive"
"2399","sheepman","sensitive"
"2400","sheik","sensitive"
"2401","shop_boy","sensitive"
"2402","showman","sensitive"
"2403","showman","sensitive"
"2404","sidesman","sensitive"
"2405","signalman","sensitive"
"2406","signor","sensitive"
"2407","signore","sensitive"
"2408","simeon","sensitive"
"2409","sir","sensitive"
"2410","sir","sensitive"
"2411","sire","sensitive"
"2412","abbess","sensitive"
"2413","actress","sensitive"
"2414","adulteress","sensitive"
"2415","adventuress","sensitive"
"2416","amazon","sensitive"
"2417","ambassadress","sensitive"
"2418","ancestress","sensitive"
"2419","archduchess","sensitive"
"2420","assemblywoman","sensitive"
"2421","au_pair_girl","sensitive"
"2422","aunt","sensitive"
"2423","authoress","sensitive"
"2424","aviatrix","sensitive"
"2425","ayah","sensitive"
"2426","b-girl","sensitive"
"2427","bacchante","sensitive"
"2428","bachelor_girl","sensitive"
"2429","bag","sensitive"
"2430","bag_lady","sensitive"
"2431","baggage","sensitive"
"2432","ball-buster","sensitive"
"2433","ballerina","sensitive"
"2434","ballet_mistress","sensitive"
"2435","barmaid","sensitive"
"2436","baroness","sensitive"
"2437","beard","sensitive"
"2438","beggarwoman","sensitive"
"2439","beguine","sensitive"
"2440","begum","sensitive"
"2441","beldam","sensitive"
"2442","belle","sensitive"
